MoleculeId,PredictedProbability
1,0.9684629440307617
2,0.9438874125480652
3,0.33583980798721313
4,0.9081907272338867
5,0.046780671924352646
6,0.6498460173606873
7,0.8235278725624084
8,0.645636796951294
9,0.9281309247016907
10,0.552553117275238
11,0.3512248694896698
12,0.6693603992462158
13,0.8242561221122742
14,0.49852225184440613
15,0.7600250840187073
16,0.31917113065719604
17,0.10226774960756302
18,0.13231319189071655
19,0.2573702931404114
20,0.88435959815979
21,0.182728573679924
22,0.8826895952224731
23,0.7513835430145264
24,0.8739864826202393
25,0.9735280871391296
26,0.8146117925643921
27,0.12299042195081711
28,0.07025395333766937
29,0.1818719506263733
30,0.35512277483940125
31,0.10218361765146255
32,0.07042191922664642
33,0.8701944947242737
34,0.13375213742256165
35,0.3204595446586609
36,0.8834365606307983
37,0.5514754056930542
38,0.4466799199581146
39,0.8687899112701416
40,0.994772732257843
41,0.13632085919380188
42,0.04665973410010338
43,0.5589602589607239
44,0.8392364382743835
45,0.03294609859585762
46,0.36686548590660095
47,0.7046663761138916
48,0.651263952255249
49,0.9442117810249329
50,0.6691173911094666
51,0.8764621019363403
52,0.051349736750125885
53,0.6385079026222229
54,0.035540785640478134
55,0.20738054811954498
56,0.9027442932128906
57,0.9125853776931763
58,0.9678307175636292
59,0.9606323838233948
60,0.583967924118042
61,0.7601202726364136
62,0.9018466472625732
63,0.23057997226715088
64,0.011365989223122597
65,0.5285853147506714
66,0.30405688285827637
67,0.5151224732398987
68,0.04975084587931633
69,0.38255661725997925
70,0.28330305218696594
71,0.81918865442276
72,0.8162122368812561
73,0.9131187200546265
74,0.9301155805587769
75,0.27298951148986816
76,0.17613275349140167
77,0.9656414985656738
78,0.24344341456890106
79,0.9078695774078369
80,0.10079943388700485
81,0.25347667932510376
82,0.22727476060390472
83,0.3535003364086151
84,0.23174184560775757
85,0.1646270602941513
86,0.6678973436355591
87,0.1935148686170578
88,0.7344735860824585
89,0.8816368579864502
90,0.7041266560554504
91,0.7336668968200684
92,0.47600826621055603
93,0.14315898716449738
94,0.1289382427930832
95,0.6094659566879272
96,0.1759006679058075
97,0.7783867716789246
98,0.7659773826599121
99,0.9804922342300415
100,0.9331232309341431
101,0.48035749793052673
102,0.8592503666877747
103,0.8419815301895142
104,0.467267245054245
105,0.2405885010957718
106,0.5894440412521362
107,0.7150107026100159
108,0.3740854859352112
